review_id,document,topic
0,"an inspiring movie hello love goodbye, despite being a largely feel good film, did not shy away from the harsh realities that its ofw audience experiences despite being upfront with the struggles of an ofw, it still serves as a gentle, hopeful reminder for our modern day heroes to not forget to choose themselves to not forget that they can allow themselves to dream, to love, and most of all, to be human it show that love can wait but our dreams it knock once like opportunity grab it once it came in your or our life kathryn bernardo portrays joy's exhaustion, anger and resolution so potently without much words it all comes out in the way her lids look heavy from a two hour sleep how her shoulders slump as she grapples with the thought of her agonizingly routine life we see it in her quiet moments in the night when she can catch a few minutes just to stare blankly at the wall the depiction felt authentic and tugs at your heartstrings, joy is the symbol of women with dream and also her leading man this is a more mature role for alden as well, and the material lets him show a deeper side to his acting chops his character's personal story carried as much weight as the romance, and in ethan's vulnerable moments, we see alden as a dramatic actor, and not just a tutti frutti leading man that's not to say that he didn't play the charismatic boyfriend role well, though the kilig factor we as always cranked up to high, thanks also to his and kathryn's organic chemistry the most unforgettable scene in this movie when ethan and joy decided to leave each other to continue their dream and when ethan said will you give the rest of your time with me in hong kong those line make me sad and overwhelmed because even they know that they leave each other they choose to understand and make those little time to make memorable, they choose to spent those time to be happy this movie make us inspired that life is like a photography, we developed from negative",7
1,"love is about letting go not sacrifice i've seen a few of kathryn bernardo's films, and i believe she turned in the performance of her life she stepped away from the typical romantic comedies many of which are actually quite good , and challenged herself to take on the role of a much deeper and much more complex character in joy i have always marveled and not in a good way of how people tend to use others even people they love even members of their own families of course, children are usually guilted into it in short, it's a parent's way of saying, i suffered, and so now you must suffer too because it's how families work as stated in other reviews, i am an esl teacher i've lived and worked in south korea, china, and taiwan i know quite a bit about how asian parents tend to treat their kids you'll scarcely find parents who are more dedicated to teaching their children about discipline and hard work the large contrast between them and western parents, is that western parents tend to allow their kids to do whatever they want they're spoiled beyond belief what is needed is a balance as the eldest daughter, joy is in hong kong working several jobs in order to keep herself alive as well as sending money back home to her family in the phillippines she has a nursing degree her dream is to go to canada to pursue what she loves of course, she meets and falls in love with ethan, a young man who is also from the phillippines, who is trying to support his family as well, after a disastrous relationship that nearly cost him everything ethan, of course, is hoping that joy will decide to stay in hong kong, and not go to canada this is when the film really grabs the viewer to see what joy will decide to do love is not about sacrifice for someone else sacrifice is about losing something, and love is never about loss it's always about who you are in all her wisdom, joy has to explain this to ethan as well as outlining the consequences of not pursuing her dream fortunately, ethan finally gets it and is able to do what only love can do let go some can do it in the end, you can only truly look after yourself and not lose sight of your own dreams if you forge ahead, then you have gained more profound wisdom about life than what most people can only dream about my only complaint of the film was that the chemistry between kathryn bernardo and alden richards was not what it should have been i'd say it was pretty obvious that kathryn bernardo did not want to do any kissing scenes with alden due to her love and respect for her boyfriend, daniel padilla the only kiss we see is one on her forehead in the dark i couldn't help but wonder how much more powerful the film would have been if another actress had performed in the role, or if padilla himself hadn't turned the role down which i read that he had still, this is a memorable film that challenges everyone to go after their dreams and let nothing and no one stand in your way",-1
2,"what a nice surprise of a movie right, well i didn't really know what i was getting into here when i sat down to watch the 2019 tagalog movie that was filmed in hong kong and given my fascination with asian movie, of course i sat down to watch hello, love, goodbye and i must definitely say that writers carmi raymundo, cathy garcia molina and ronalisa a co came up with a rather enthralling storyline one that definitely provided as much of entertainment and enjoyment, as it was a movie that was very watchable and likeable the storyline is one that easily sways away the audience, because it is wholehearted and nicely told storyline and milling about in the storyline are some nicely detailed and interesting characters so a big thumbs up to the writers on this accomplishment i will say that the acting in the movie was good now, i am not overly familiar with tagalog cinema, but my wife told me that there were some rather famous tagalog actresses and actors in the movie nevertheless, i think the acting performances were spot on at the same time, with providing a good story and good entertainment, hello, love, goodbye really brought me back to my four years of living and working in hong kong this movie stoked so many memories and definitely spurred a desire to return to hong kong to revisit that fabulous place if you like romantic movies, then i strongly believe that the 2019 movie hello, love, goodbye from director cathy garcia molina is a movie that you will thoroughly enjoy i was more than genuinely entertained by this movie, and it is a movie that i can warmly recommend you sit down to watch my rating of hello, love, goodbye lands on a well deserved seven out of ten stars",7
3,"hello, love, no goodbyes being the highest grossing philippine movie thus far, i hope you don't mind if i came into watching this with high expectations still i was skeptic because the assumption was it will be another one of those formulaic star cinema movie starring kathryn bernardo, directed by cathy molina garcia, set in an international location, usual love story but with a twist we get a new boy this time in the form of alden richards for the most part i was right, it was all you could ever expect from the same group that gave us the highest grossing movie the year before, 'how's of us ' amidst it's shortcomings, 'hello, love, goodbye' is a pleasant surprise for a movie who's theme has been done a million times part of it's success can be attributed to showing us the reality of our hardworking domestic helpers in hong kong which the ofw community all over the world related and responded to and it did not give us the usual ending we are used to, which makes a sequel possible seeing as all three already expressed interest in doing the story was well written for the most part and my favorite was the start of the movie it was a different approach, fast paced and intriguing while at some point it had to slow down to become what it really was meant to be in the first place, a typical pinoy love story, at least it introduced something new to the audience that can be the new norm in the future acting wise, kathryn and alden both delivered but both lacked maturity which i'm hoping can be improved on once the sequel rolls around it took a while for their chemistry to kick in, possibly a result of being pigeonholed in their respective love teams for a long time kathryn can act, but she has certain mannerisms when she deliver some of her lines that breaks my concentration from her acting i'm still getting rich girl even though she's supposed to be covered in filth from hiding under a pile of garbage bags alden still comes from the john lloyd cruz school for acting, but as soon as he develops his own signature he should be destined for greater things the supporting cast did what was required of them, with maxine medina and jameson blake as highlights there's always the burden of asking whether this is the movie that will propel philippine cinema back to it's old glory obviously this is not it, but delightfully it's not a step back as well knowing this specific tandem and formula works, hopefully everyone involved will be more keen on wanting to elevate the viewing experience the second time around i keep harping on this because i honestly believe it has the potential to become even more special than what they've already done here",2
4,"truly amazing this is so far, the best filipino movie of 2019 i really love the story, which shows a lot about the lives of filipino workers in hong kong this will make you laugh out loud a lot and cry hard for me this is cathy garcia molina's best movie kathryn and alden really shines in this, great acting by the whole cast it also has great shots, cinematography and soundtrack so it is a must watch",2
5,"mature and bold love story the two stars from the two different stations hit it off with good chemistry in this mature love story although the story is as typical as any filipino love romance movie could be, i like the fact that the writer and director went for the bold path of ending the movie with goodbye , instead of coming up with an epilogue that let the two lovers meet again in some future the two lead stars are engaging enough for you to care what happens to them in the end but there are some parts where it could drag still, i can understand the clamor when this movie came out in 2019",-1
6,the best filipino movie ever this is the best pinoy movie ever the characters are superb kathryn bernardo and alden richards performance was the best there is no boring moments in the movie it's a must watch for everyone kathryn bernardo played the role of joy a filipino worker in hong kong who is struggling and doing odd jobs to take care of her family on the other hand alden richards played the role of ethan a funny and unserious bartender who later crossed path with joy and the story of their undying love begins the story is not just another pinoy love story it's a story that shows the struggle of all ofw i was touched and move by the acting of kathryn bernardo and alden richards they made it possible for me to relate with the movie i'm not a filipino but i was able to get every piece of the movie because of their wonderful onscreen chemistry kudos to the cast and crew good job director molina i wouldn't mind to travel again for the part 2 of this movie it's worth my time and my money more movies for this duos please i would always travel with my family to watch their movie onscreen more movies for kathryn bernardo and alden richards please they've won my heart,2
7,kathryn alden seemed too rehearsed and some of their co actors were really annoying save your money and just watch this on netflix or cinema one when it airs,3
8,"a simple mirror this is another cheese pinoy movie, but base in real life, that is the point, at the end family is not the principal role, a twisted end, a lot of lacrimogen bomb, good for the family but pinoy is the new korean drama",-1
9,great movie its an eye opener to some of the facing problems of ofw,-1
