review_id,sentence_num,username,date,rating,source,sentence,sentiment,confidence,prob_negative,prob_neutral,prob_positive,sentiment_std,rating_numeric
0,1,VoNiTo101,2022-05-06 00:00:00.000,90.0,imdb,This is the truth: This documentary perfectly captured the experiences of the Marcos and the exploited people,negative,0.6338851451873779,0.6338851451873779,0.0001348131336271,0.3659800589084625,negative,90.0
1,2,brockfal,2022-05-10 00:00:00.000,80.0,imdb,"It's a shocking tale of shameless corruption nepotism cronyism and greed, at the end of which one can only feel saddened for the Filipino people, who have been used abused lied to and robbed over decades by their elite, and still are",negative,0.7951875329017639,0.7951875329017639,6.443482561735436e-05,0.2047480791807174,negative,80.0
1,4,brockfal,2022-05-10 00:00:00.000,80.0,imdb,Sadly all of that now seems to have been forgotten,negative,0.7887822985649109,0.7887822985649109,0.0002607258793432,0.2109570056200027,negative,80.0
2,1,DennisGillEndor,2019-12-05 00:00:00.000,90.0,imdb,"Privilege matters, Political horror",negative,0.6430757641792297,0.6430757641792297,0.000141655880725,0.3567825853824615,negative,90.0
2,4,DennisGillEndor,2019-12-05 00:00:00.000,90.0,imdb,It's about a narcissistic self serving former first lady abusing her position,negative,0.7144003510475159,0.7144003510475159,9.341967961518094e-05,0.2855062782764435,negative,90.0
3,3,andrewcollins-86653,2021-10-29 00:00:00.000,100.0,imdb,The carnage left behind from this disgusting dynasty is there for all to see today in the form of vastly stunted economic growth down to the billions of dollars embezzled by these creatures,negative,0.6356129050254822,0.6356129050254822,5.19325039931573e-05,0.3643352091312408,negative,100.0
4,1,wmurch3,2022-06-08 00:00:00.000,100.0,imdb,Real life political horror: Horrifically illustrates how a nation's collective memory can be erased in real time and the true limits of democracy in the social media age,negative,0.6935823559761047,0.6935823559761047,0.0001297714043175,0.3062878251075744,negative,100.0
4,3,wmurch3,2022-06-08 00:00:00.000,100.0,imdb,Imelda comes across as a complete psychopath with absolutely no perception of reality,negative,0.5766549110412598,0.5766549110412598,7.763098983559757e-05,0.4232674241065979,negative,100.0
5,3,dhti,2020-08-14 00:00:00.000,60.0,imdb,The maker of the documentary is very one sided and has little knowledge of the local culture,negative,0.941653609275818,0.941653609275818,5.052001870353706e-05,0.0582959167659282,negative,60.0
5,4,dhti,2020-08-14 00:00:00.000,60.0,imdb,This is of course very irritating,negative,0.9431487917900084,0.9431487917900084,0.000161440912052,0.0566896796226501,negative,60.0
5,6,dhti,2020-08-14 00:00:00.000,60.0,imdb,Anyone wiht any knowledge about that culture should know how stupid the maker of this docu is,negative,0.9337836503982544,0.9337836503982544,5.979127308819443e-05,0.0661565586924552,negative,60.0
6,3,george_posadasii,2022-05-05 00:00:00.000,90.0,imdb,The contrasting images presented by Greenfield is a great divider between Perception and Reality,negative,0.8449223637580872,0.8449223637580872,8.056170918280259e-05,0.1549971103668213,negative,90.0
7,9,RobertN1,2025-10-04 00:00:00.000,70.0,imdb,- 7/10,negative,0.8529111742973328,0.8529111742973328,0.0001061813236447,0.1469827592372894,negative,70.0
9,2,andrewpeterconnell,2020-03-02 00:00:00.000,80.0,imdb,Like her or loathe her you can't deny the blatant pesos for politics,negative,0.6265992522239685,0.6265992522239685,5.127491021994501e-05,0.373349517583847,negative,80.0
9,3,andrewpeterconnell,2020-03-02 00:00:00.000,80.0,imdb,Watching Marcos hand out wads of cash to kids in a hospital ward in front of the cameras was as cynical as it was sickening,negative,0.548414945602417,0.548414945602417,4.841619011131115e-05,0.4515365660190582,negative,80.0
11,16,paul-allaer,2021-01-01 00:00:00.000,80.0,imdb,"""Perception is real, and the truth is not"", she states as a matter of fact",negative,0.8751583695411682,0.8751583695411682,4.965843618265353e-05,0.1247920021414756,negative,80.0
11,17,paul-allaer,2021-01-01 00:00:00.000,80.0,imdb,"Hmmm, where have we heard this elsewhere in recent times",negative,0.8010728359222412,0.8010728359222412,9.183678776025772e-05,0.1988352835178375,negative,80.0
