username,rating,review_text,date,likes,comments,viewing_type,user_liked
toobryt,7,Independencia!!! Great way to finish the trilogy,2025-10-26,0,0,watch,True
carlynnn,,"This was… interestingI will never see Quezon the same way after watching this, no wonder this country is run like hell",2025-10-27,0,0,watch,False
rygos22,10,Bakla si Quezon,2025-10-28,0,0,watch,True
feeniewriiight,10,joven joven joven joven joven joven,2025-10-29,0,0,watch,True
beaaatri,6,parang ok lang. the chronological order didn't feel too clean. sobrang The Giver nung nakita ni Jericho Rosales first wife niya hahaedit: rated it higher after reading other reviews and realizing this is better executed than oppenheimer,2025-12-06,0,0,watch,False
calliebaby,10,"i never doubted jericho rosales’ casting. he harnessed the charisma needed to portray the cunning of quezon from all those years of heartthrob and leading man roles, and it resulted in an exceptional performancealso, quezon-osmeña bl when EME HAHAHAHAHA",2025-12-06,0,0,watch,True
cocoberts,10,"I like how the movie was sequenced in a sort of “flashback” story telling up until the last few bits of the movie for closure. However the closure didnt even feel like closure after all the mess, it just left the audience to just know what the mess was and there wasnt really like a conclusive ending except for the fact that quezon’s life simply just went on after all that mess being on the brink of ruining him. But i liked the fact that there wasnt like an absolute closure part of the movie.",2025-12-06,0,0,watch,False
spacecurtus,8,damn he’s a good politician,2025-12-05,0,0,watch,False
willholycross,7,galing ni jericho,2025-12-05,0,0,watch,True
chickeneggier,10,Surprisingly refreshing. Didn’t notice it was a 2 hours movie!,2025-10-18,0,0,watch,True
rindori,7,"sa sobrang galing mag-acting ni jericho rosales, nainis ako sa kanya :)",2025-11-05,0,0,watch,True
mattematixz,8,sus daming bakla na kilig na kilig kay quezon at osmena bwiset,2025-10-28,0,0,watch,False
toobryt,7,Independencia!!! Great way to finish the trilogy,2025-10-26,0,0,watch,True
carlynnn,,"This was… interestingI will never see Quezon the same way after watching this, no wonder this country is run like hell",2025-10-27,0,0,watch,False
rygos22,10,Bakla si Quezon,2025-10-28,0,0,watch,True
feeniewriiight,10,joven joven joven joven joven joven,2025-10-29,0,0,watch,True
beaaatri,6,parang ok lang. the chronological order didn't feel too clean. sobrang The Giver nung nakita ni Jericho Rosales first wife niya hahaedit: rated it higher after reading other reviews and realizing this is better executed than oppenheimer,2025-12-06,0,0,watch,False
calliebaby,10,"i never doubted jericho rosales’ casting. he harnessed the charisma needed to portray the cunning of quezon from all those years of heartthrob and leading man roles, and it resulted in an exceptional performancealso, quezon-osmeña bl when EME HAHAHAHAHA",2025-12-06,0,0,watch,True
cocoberts,10,"I like how the movie was sequenced in a sort of “flashback” story telling up until the last few bits of the movie for closure. However the closure didnt even feel like closure after all the mess, it just left the audience to just know what the mess was and there wasnt really like a conclusive ending except for the fact that quezon’s life simply just went on after all that mess being on the brink of ruining him. But i liked the fact that there wasnt like an absolute closure part of the movie.",2025-12-06,0,0,watch,False
spacecurtus,8,damn he’s a good politician,2025-12-05,0,0,watch,False
willholycross,7,galing ni jericho,2025-12-05,0,0,watch,True
chickeneggier,10,Surprisingly refreshing. Didn’t notice it was a 2 hours movie!,2025-10-18,0,0,watch,True
rindori,7,"sa sobrang galing mag-acting ni jericho rosales, nainis ako sa kanya :)",2025-11-05,0,0,watch,True
mattematixz,8,sus daming bakla na kilig na kilig kay quezon at osmena bwiset,2025-10-28,0,0,watch,False
gellygellie,8,"you learn history, but mostly how big a personality one man can have",2025-12-03,0,0,watch,False
feeniewriiight,10,quezmeña layag!!!!,2025-11-30,0,0,rewatch,True
marcelo___,6,"Quezon (2025) Watched Quezon in cinemas last week. It aims for epic, but somewhere between the dramatic speeches and historical gravitas, it loses its spark. Ambitious, yes, but the heavy-handed theatrics and slow pacing make it more exhausting than engaging. A decent attempt at history, but not one I’ll remember fondly.",2025-12-03,0,0,rewatch,True
junreyisageek,9,"Pinaka maganda sa trilogy ng bayaniverse, Very Good casting lahat walang tapon, hopefully maraming Pinoy Ang makapanood neto, sana maaga mailabas sa Netflix para mas maraming audience, the Philippines need this kind of film, Jerold Tarog is now my favorite Filipino film Director.",2025-12-03,0,0,watch,True
nico_quejano,2,"A few weeks ago Cinemartys reminded all of us the massacre committed by Leonard Wood in Mindanao. But somehow, this movie humanized Leonard Wood. Making him charismatic and only wants to serve the people, at worst, a bureaucrat. But Leonard Wood was racist and an imperialist. His writings about the Philippines, depicting Filipinos as mostly backward and savages, were the reason why the US government did not give us independence immediately. And yet the movie not only gave credence to his racist tirades, it made it into facts. This is wrong in so many levels. I understand that we should unmask our heroes, but making the founding fathers as villains is a slippery and dangerous slope for a nation that easily forgets its own history. At a time that our sovereignity is in peril by outside and even inside forces, a movie questioning our genesis is a bit irresponsible. Not to mention the hypocrisy of a rousing speech against patronage politics then thanking the sister of the sitting president and the daughter of the dictator in the end credits. Admittedly, Quezon is a much better film than Goyo, but it's irrelevant at this point. [Glorietta]",2025-10-19,4,0,watch,False
th0ughtcriminal,10,Crazy in love with this movie,2025-11-30,0,0,rewatch,True
diabbg,7,NAPAKATOXIC,2025-11-03,0,0,watch,False
alexdgo,7,"He takes and he takes and he takes, and he keeps winning anyway.",2025-11-21,0,0,watch,False
yvreim,8,"i had a chance to watch their block screening on the first day and got to see their amazing actors, mon confiado, benjamin alves, jake macapagal, ana abad santos, and therese malvar, thanks to national university.the concept of making a prequel about the people we call our national heroes is a smart and refreshing move in philippine cinema. the director shows them as normal people with strong political desires, which mirrors the never ending power game we still see today. from emilio aguinaldo to manuel quezon, all the way to the marcos-duterte tandem, i must say they follow the same pattern. we treat these men like mythical figures and grow up with a clean version of them. then the film shows them bargaining, manipulating, and protecting their own interests, and you realize the cycle never stopped. it feels heavy at first because you hope someone in that era stood as the clear hero, but the more the story unfolds, the more you see how power shaped all of them.what i love about this film is that i went inside the cinema thinking I would learn another honest story from our former presidents and understand why they are considered important figures in history, not just because they led the country but because of what they sacrificed during their time. but after watching it, i realized that both emilio aguinaldo and manuel quezon, despite the rivalry and the clear protagonist antagonist framing, never truly cared about the filipino people and were both playing dirty.quezon is a great communicator and strategist. these helped him rise from being a lawyer to becoming the second president of the philippines. we grow up hearing his name and thinking of one of the best presidents we ever had. in the film, all he talks about is independence, but I never actually saw the real reason behind it. was he doing it for the country, for the people, or to validate his own hard work and protect his power and money.it took me almost two months to write this review because the film stayed in my mind longer than i expected. every time I tried to sit down, i ended up thinking about another scene or another line that hinted at something deeper. it’s not the kind of film you watch and forget the next day. it leaves you with questions that don’t settle right away.i kept replaying how the characters moved and how their decisions shaped everything. the more i revisited it in my head, the more i understood why it bothered me in a good way. it challenges the way we grew up seeing these men. it makes you look past the titles and medals and ask who they were when the doors were closed.",2025-10-15,0,0,watch,True
larraylarray,8,Undocumented convo of Manuel L Quezon and Sergio Osmeña:M: Babasagin mo Yung Plato S: TalagaM: Sige lang. Magdadabog Ka pa sa kwarto.S: eh ano?M: Sige lang. Susulatan mo mukha ko.S: paki ko?M:Hay naku! Huwag Kangang humarang nanonood ako.,2025-11-30,0,0,watch,False
