Title,Review Text,Rating
Nice movie.,"It follows a young gymnast who discovers she is pregnant on the week of the national team tryouts. On her way to a seller of illegal abortion drugs, she meets a mysterious girl who eerily talks and thinks like her.

Dude the cinematography and camera angles in this trailer is what I have been wishing Philippine Cinema would have already been by now. Not the disappointing films they keep hyping and giving fake accolade.

Finally, a realistic story, not about kabit, poor/rich love story, badings. This is a realistic struggle of teen pregnancy in the Phil.

Sobrang deserve ni Maris makakuha ng maraming awards sa acting! Ang ganda! Ang galing!",10
This is the sunshine the country needs in today's climate.,"This is the sunshine the country needs in today's climate.

It was Jadaone's courage that popped in my head when the title card flashed, a very Filipina name that connotes brightness and warmth - two things the film was not intended for, two things the titular character deprived of.

Sunshine is a story of every Sunshine, a Filipino woman vulnerable to systemic injustice and oppression; a story no one could have been told better than a Filipino woman herself - and a fearless and intelligent one at that. From reproductive health and general health care system to conservatism, Jadaone's care and spirit championed. Her personification of one's conscience was beautifully done. I sobbed through the last 15 minutes.

True-to-life darkness in the country executed from the literal streets to the contexts of quality of life through Orendain's realism. There's a harrowing frame in the movie that ticked all my boxes as a fan of dark cinematography. I bled in the dark with Sunshine right there.

This film boasts a talented bundle of actresses: Meryll Soriano, Annika Co, Xyriel Manabat, Jennica Garcia, with Maris Racal tying the ribbon, flexing her acting muscles across different tones and needs. Well-written and well-directed performances with standouts coming from Garcia, Co, and Racal. Ah, women.

Malalim. Matapang. Mahalaga. Hindi ako babae pero gets na gets kita, Sunshine.",9
Still processing. This film stays with you.,"Maris Racal delivers an incredibly raw and grounded performance. You feel her tension, her fear, her hope and the heartbreak that comes from making an impossible decision. She doesn't ask you to agree with her character. She just asks you to understand. And that's powerful.

Direk Tonet Jadaone has once again proven her gift for telling stories that cut deep. This film doesn't shout, but it lingers. It haunts you in the quiet moments. It reflects a reality many would rather not see one where shame is louder than support, and judgment comes faster than help.",10
Perfect execution,No Review Text,No Rating
"""I wanted to be brave for these girls""",No Review Text,8
A Powerful 10/10 Film That Tells the Truth,"This 2024 Filipino film follows a teenage gymnast, Sunshine, whose Olympic dreams are suddenly derailed when she finds out she's pregnant. What unfolds is a raw, deeply emotional journey through shame, societal pressure, and the painful reality of having no legal access to abortion-something many women across Asia still face today.

The film doesn't sugarcoat anything. It shows exactly what's wrong with restrictive abortion laws in many Asian countries-how they silence girls, punish ambition, and force life-changing decisions on those who are still children themselves.

The movie itself is honest, hard-hitting, and emotionally devastating in the best way.

Maris Racal's performance was absolutely stunning. She carries the entire film with a performance that is real, raw, and unforgettable.

Sunshine should be shown in classrooms, government offices, and households. It's that important. It sparks urgent conversations about women's rights, bodily autonomy, and the price of silence.

Sunshine is one of the most courageous and necessary films to come out of Southeast Asia in recent years. It holds up a mirror to society and forces viewers to face uncomfortable truths. Anyone who thinks film can't change minds hasn't seen this one yet.

This is not just a good movie-this is essential cinema.

10/10. A masterpiece.",10
Sunshine - A Raw and Eye-Opening Film,"Sunshine is truly an eye-opener. It bravely tackles real issues that so many young adults-and even kids who are just stepping into their teenage years-are silently going through. The film dives deep into the realities of early pregnancy, abortion, and the emotional and social weight that comes with them.

What I really hope is that parents take the time to watch this film. Not just to be aware, but to feel that urgency-the need to guide and talk to their children about these sensitive but important topics. It's a conversation that can't be delayed anymore.

What stood out to me the most was how real and raw everything felt. I didn't leave the cinema feeling happy, but I did feel relieved. I felt the pain, the heartache, and the struggle that Sunshine went through-but I also saw the strength in her journey. The story is complete. It gives you everything from beginning to end, no shortcuts, no sugar-coating.

I loved the film. I honestly want to watch it again-not just for the story, but for the emotions it stirred up and the awareness it brings. This film matters.",10
"An honest, genuine and raw moving story!",No Review Text,9
A Missed Opportunity to Stick the Landing,"I had been waiting a long time to watch Sunshine, especially since I never got the chance to see it on the big screen. So, when it finally arrived on Netflix, I was so excited, only for that excitement to fade the longer I watched.

The premise is undeniably compelling: a young gymnast discovers she's pregnant just as her lifelong dream of reaching the Olympics is within reach. It's a setup filled with emotional stakes and potential for a powerful, character-driven story.

But instead of exploring her dedication to the sport, the film shifts almost entirely to her pregnancy and her attempts to deal with it. I kept waiting for scenes that would show her fighting for her dream, intense training, the pressure of competition, the physical and emotional toll of gymnastics, but those moments never really come. The narrative focuses more on side characters and subplots that feel unnecessary and, frankly, uninteresting.

I couldn't help comparing this film to other international athlete biopics that portray the grit, passion, and relentless work behind the journey. Sunshine had all the ingredients to deliver that kind of inspiring story, but it simply doesn't stick the landing.

Overall, I'm disappointed. With a stronger focus on the athletic journey and the challenges of balancing an unexpected pregnancy with Olympic ambitions, this could have been a much more compelling and memorable film.",4
"Perfect, Very Relevant","Will keep this short, but I can't due to the minimum characters. It perfectly captures and delivers the message it intends to relay. Just beautiful! Loved it!

Very, very relevant. Moves you even if you yourself cannot directly relate, and that is where the magic proves itself!

Great acting as well by almost everyone in the cast!",10
