movie_name,review_text,date,sentiment_label,sentiment_score,topic
Praybeyt Benjamin 1,"Waste of everything watching this movie.: I never expect this movie to be good and one thing in mind, surely it is WORST. And wow! yes! yes! I did the right expectation on this movie.

There's no story at all its all time wasting moment,

i prefer to read the oldest newspaper than sitting in front of TV watching this crap.

But I cannot deny and I can't still imagine and can't still find the answer why this movie became the top grosser of all time.

Waste of everything watching this movie. Only kids can enjoy for those with have a very low humor.

I hope foreign people missed to see this garbage",2012-12-27,positive,0.7084874510765076,0
Praybeyt Benjamin 1,"Good Comedy Movie: First of all, I would like to congratulate Star Cinema/ABS-CBN Film Productions and Viva Films for having Praybeyt Benjamin as one of the highest grossing Filipino film of all time.

The movie was quite hilarious and the storyline of having a gay soldier is a good idea, though not anymore unique. Nevertheless, what made it different from any other films with gay soldiers is that they mixed genres. They added a touch of science fiction (SciFi) and drama (Family Rivalry). And, thankfully, the romance they have put was only for the sake of comedy, and not being focused on the romance alone because if they did, it would appear mainstream which the Filipino taste is already burn of.

The camera rolling techniques that have been used was on average, and the CGIs appeared to be similar to that of old Filipino films (which I have to admit devastated me).

Heavy screen portrayal got no place in this kind of movie because it does not showcase heavy drama. However, I believe that some of the actors underacted making some scenes awkward and unnatural.

Overall, it reached 7/10.",2012-09-29,positive,0.98382967710495,0
Praybeyt Benjamin 1,"Actual Kino: Certified Vice Ganda Kinoplex moment. This movie is peak fiction, if I could rate this 100,000,000/10 I would've. This movie is a must see in the next white boy summer.",2021-10-19,positive,0.9906208515167236,0
Praybeyt Benjamin 1,"ako aamin nako, tomboy ako",2025-12-08,positive,0.9122592806816101,0
Praybeyt Benjamin 1,napredict ni benjamin ang unang line ng not like us by kendrick lamar ,2025-12-08,negative,0.5522125959396362,0
Praybeyt Benjamin 1,"This was my ""Good Luck, Babe!"" as a child ",2025-12-06,positive,0.9784451127052307,0
Praybeyt Benjamin 1,classic ,2025-12-03,positive,0.5038725733757019,0
Praybeyt Benjamin 1,peak vice ganda,2025-12-03,positive,0.9501801133155823,0
Praybeyt Benjamin 1,i miss u wenn v. deramas,2025-11-24,negative,0.7243584990501404,0
Praybeyt Benjamin 1,nakakalerki,2025-11-22,negative,0.5685235857963562,0
Praybeyt Benjamin 1,one of vice ganda's fun ((like really fun)) films tbh,2025-11-16,positive,0.9950894713401794,0
Praybeyt Benjamin 1,peak,2025-11-19,negative,0.6188051700592041,-1
Praybeyt Benjamin 1,plants vs. tombits,2025-11-18,negative,0.74281245470047,0
Praybeyt Benjamin 1,welcome home PAPSIIIIIIII,2025-11-18,positive,0.9892779588699341,3
Praybeyt Benjamin 1,ANG LAUF KO DITO HAUAHWUAHAUSHSHVAHZUSHWHWHA,2025-11-17,negative,0.6208114624023438,0
Praybeyt Benjamin 1,me kapag sinali sa rotc,2025-10-24,negative,0.6475965976715088,0
Praybeyt Benjamin 1,miss u direk wenn,2025-11-15,negative,0.7381016612052917,0
Praybeyt Benjamin 1,utot gun so op,2025-11-13,positive,0.6622714996337891,0
Praybeyt Benjamin 1,"this was fun watching, you'll smile and laugh.",2025-11-14,positive,0.9979329109191895,0
Praybeyt Benjamin 1,welcome home papsi !!,2025-11-14,positive,0.987174391746521,3
Praybeyt Benjamin 1,the filipino mulan daw sabi ng kuya q,2025-11-13,negative,0.6703386902809143,0
Praybeyt Benjamin 1,"5 stars ehudhwhshaha mga nagseseryoso dyan sa movie na ganto, di kau sasaya #utot_gun",2025-11-13,positive,0.9876939058303833,0
Praybeyt Benjamin 1,bakla!,2025-11-13,negative,0.828001081943512,0
Praybeyt Benjamin 1,"| ?benjie is so me, pag naging sundalo tapos ang nasa cardboard target al pacino at robert de niro tapos hindi ko babarilin#boompanes",2025-11-13,negative,0.9010176658630371,0
Praybeyt Benjamin 1,wititit!!,2025-11-10,negative,0.9359588623046875,0
Praybeyt Benjamin 1,"""ito ba yung may bomba"" - Deim""gusto ko rin ng barbie"" -Tine",2025-11-10,negative,0.5096158981323242,0
Praybeyt Benjamin 1,kami ng mga bading kong kaibigan pag napunta sa military,2025-11-10,negative,0.842290461063385,0
Praybeyt Benjamin 1,another memorable cinema watch. babaw p kaligayahan q noon wiwww,2025-11-10,positive,0.9681006669998169,0
Praybeyt Benjamin 1,HALA,2025-11-10,negative,0.7792383432388306,0
Praybeyt Benjamin 1,THIS WAS THE REASON WHY MY HUMOR IS THE WAY IT IS,2025-11-07,positive,0.8731118440628052,0
Praybeyt Benjamin 1,Peak vg,2025-10-30,negative,0.5461651682853699,-1
Praybeyt Benjamin 1,medyo iba awra ni mulan dito,2025-11-09,negative,0.6695118546485901,0
