movie_name,review_text,date,sentiment_label,sentiment_score,topic
Maid in Malacañang,"Anyone who gives this film higher than a 9 lacks integrity, or just has never seen a good movie: A lot of the late dictator's loyalists will hype this film up but its really, really boring. It's not the worst film I've seen but just like most of Darryl Yap's films, it's trash. Much of the acting from Christine Reyes is just her shouting. It's a grating noise to the ears. The maids in the film are the best part of it as the delivery of their lines are somewhat entertaining, however the lines and ""hugots"" feel so forced and shallow. The main problem is really the script. The emotional scenes feel so forced. It's obviously a propaganda film and a really boring one at that. It had an okay start but dragged so much at the middle almost as if they were trying to fit a bunch of propaganda from a checklist. The soundtrack and cinematography are okay but not enough to salvage the film. Skip it.",2022-08-31,negative,0.9078528881072998,0
Maid in Malacañang,"PUTANGINA: I don't know why people review this movie with 1 star, The movie have good combination of comedy and drama, But I think need more cinematography.

Overall the movie is good to watch and not boring but need more improvement.",2022-08-06,negative,0.9176688194274902,0
Maid in Malacañang,"It's okay.: Entertaining but confusing. Chapters are not connected with each other. It felt like broken and scattered. It felt like something made by an amateur. Great idea, poor execution, great acting tho!",2022-08-16,positive,0.9856449365615845,0
Maid in Malacañang,Ferdinand E Marcos Sr is a great president: This movie shows a president who loves his people. I don't call him a dictator. I call him a great president. The Marcos family became victim of many false accuses.. I'm happy they are back.,2022-08-09,positive,0.9903535842895508,0
Maid in Malacañang,"Another Darryl Yap trademark: Political messages aside, the movie editing is messy and incoherent at times. The scene transitions were bad even for a typical Filipino drama. The acting seems forced and the story direction tries too hard but fails to convince viewers to sympathize with the cast because of badly placed comedic banters in between scenes and badly-written script. It seems like the director didn't learn or even try to improve on his filmmaking formula which has already been frowned upon in his previous films.",2022-08-05,negative,0.901583731174469,0
Maid in Malacañang,"Not even worth it: Honestly, I was expecting a coherent turn of events in this film. However, the lack of cinematography bores me to the point it feels like I'm watching a poorly executed youtube skit. As to the transition of the scenes, it was choppy. At first, I thought I'll get used to it but it turns out to be very unnecessary and annoying. The color grading was ok but I supposed they could have done more in terms of the lighting.

Furthermore, the acting was so bland and god it was horrible, in fact one of the actress could not shed a tear in the climax of the film. Nonetheless, the girl with the short hair expresses well with her eyes but her voice screeches sometimes. The dialogues written was plain and bland unfortunately did not engaged us viewers. I was hoping they would take us back to that time but that was not the experience at all.

Overall, the movie felt so rush and unproduced. Not even worth your time.",2022-08-04,negative,0.9804239273071289,0
Maid in Malacañang,NO TO HISTORY REVISIONISM/DISINFORMATION: NO TO HISTORY REVISIONISM/DISINFORMATION NO TO HISTORY REVISIONISM/DISINFORMATION NO TO HISTORY REVISIONISM/DISINFORMATION NO TO HISTORY REVISIONISM/DISINFORMATION NO TO HISTORY REVISIONISM/DISINFORMATION NO TO HISTORY REVISIONISM/DISINFORMATION NO TO HISTORY REVISIONISM/DISINFORMATION NO TO HISTORY REVISIONISM/DISINFORMATION NO TO HISTORY REVISIONISM/DISINFORMATION NO TO HISTORY REVISIONISM/DISINFORMATION NO TO HISTORY REVISIONISM/DISINFORMATION.,2022-08-06,positive,0.5112830996513367,0
Maid in Malacañang,"A Work of Art. Definitely a Masterpiece.: A Family oriented film. The point of view of the Marcos family of the last 72 hours of their stay in Malacañang Palace. Where Cory Aquino wife of a Terorrist/Traitor/Senator Benigno Aquino have robbed the power of the People elected President Ferdinand Marcos Sr. Which is by far the most great,well-loved by the filipino people President, Philippines ever had.",2022-08-05,positive,0.9975922107696533,0
Maid in Malacañang,"Maid in Malacanang is a sham!: I had an open mind watching this movie. I wanted to give the Marcoses a chance, but I was so wrong. This movie is was not trying to tell the story from the other side. It was a way to manipulate the public, to make the Marcoses look like they were the victims, what a joke! They're trying to cover up the atrocity that the Marcoses did. Stop trying to change the history, it's never gonna work. It's been proven time and time again that truth always win.",2022-08-06,negative,0.8870377540588379,0
Maid in Malacañang,"Non-bitter movie: To those who gave a negative review to this movie, the question is did everyone watch it? Or do you just want to boycott the movie because there is nothing you can do with the strong support of the people in MIM? Well, for those who are anti Marcos, there is nothing new in your dirty works. I can only say that the plot of the story is very good. You will cry, but you will also laugh at other scenes. You're just really bitter.",2022-08-05,positive,0.7711190581321716,0
Maid in Malacañang,Complete waste of time: Cringy acting. Terrible writing. The score is off-putting. The story is obviously self serving. Not for people who are after a real movie. Its like Vlogging with a punctuation.,2022-08-06,negative,0.9803513884544373,0
Maid in Malacañang,SO IMPRESSIVE: I love the movie! It shows about what happened in the last days of Marcoses in Palace. I've learned a lot. Thank you for creating this awesome political movie!,2022-08-05,positive,0.997940719127655,0
